epoch,train_loss,train_acc,val_loss,val_acc
1,1.4546943920933388,0.4707655213984328,1.3061920306532855,0.5217391304347826
2,1.3437102319534606,0.5159734779987944,1.2686658792449657,0.5217391304347826
3,1.3118228006966506,0.517781796262809,1.2404867019054395,0.5144927536231884
4,1.2939212667863005,0.5141651597347799,1.2353041459972731,0.5
5,1.2867306596619168,0.5159734779987944,1.2180571590644726,0.5024154589371981
6,1.2759035210641052,0.5183845690174804,1.2156733971287086,0.49033816425120774
7,1.2801616418929327,0.5183845690174804,1.2160939191274598,0.48792270531400966
8,1.2510796937689572,0.515370705244123,1.2103797652295247,0.49516908212560384
9,1.253318518238516,0.515370705244123,1.2014941172899256,0.5024154589371981
10,1.2525496193628272,0.515370705244123,1.2060140411634952,0.5
11,1.2595701743638106,0.5123568414707655,1.2080522896586985,0.5
12,1.2616091661959115,0.515370705244123,1.2060518564233458,0.5024154589371981
13,1.277816302521966,0.5063291139240507,1.207775941217579,0.5
14,1.2519210897489368,0.515370705244123,1.2042090944621875,0.5024154589371981
15,1.2718700460097099,0.5159734779987944,1.195536472371235,0.5096618357487923
