epoch,train_loss,train_acc,val_loss,val_acc
1,1.0375943978627522,0.46041666666666664,1.5272786935170493,0.5
2,1.0256734132766723,0.5125,2.384042660395304,0.49166666666666664
3,0.9779894491036732,0.5479166666666667,2.3352186838785807,0.39166666666666666
4,1.0157995760440826,0.55,0.9773579994837444,0.575
5,0.9143014411131541,0.5875,1.7965963045756022,0.475
6,0.9529643992582957,0.5229166666666667,0.7671695788701375,0.6333333333333333
7,0.8553385456403096,0.5583333333333333,0.9058998545010885,0.5583333333333333
8,0.7694308876991272,0.6270833333333333,0.6889872670173645,0.7083333333333334
9,0.7029329299926758,0.6645833333333333,0.6359192987283071,0.7166666666666667
10,0.6598078032334646,0.7125,0.6645567218462626,0.6666666666666666
