,0
mfcc1_std,0.06045479337258059
rms_std,0.053953199432859686
zcr_mean,0.050142122367906064
pitch_median,0.04878477672428009
rms_mean,0.04555031891809703
pitch_mean,0.04285619747497485
centroid_mean,0.03954414554315279
mfcc2_std,0.0359673311524103
mfcc1_mean,0.03586689541312715
mfcc3_std,0.03542171433239896
mfcc3_mean,0.03259183779042965
mfcc13_mean,0.03150347280760595
mfcc10_mean,0.031130114937664113
centroid_std,0.030335110259714262
mfcc2_mean,0.03030705834045042
mfcc11_mean,0.0283174525301119
mfcc5_mean,0.028110980557699266
mfcc7_mean,0.027499493465130437
mfcc4_mean,0.02714783627931548
pitch_std,0.025570820447899094
mfcc9_mean,0.024281081850462904
mfcc4_std,0.022562161364585734
mfcc12_std,0.021583484427262135
mfcc6_std,0.020707595967559556
mfcc8_mean,0.020213266130060994
mfcc6_mean,0.020167517645434355
mfcc9_std,0.02013369212122088
mfcc13_std,0.017422871263908825
mfcc8_std,0.01664782164802148
mfcc11_std,0.016611741171256484
mfcc10_std,0.015801038435106836
mfcc5_std,0.015271410319029418
mfcc12_mean,0.014948244751139242
mfcc7_std,0.012592400757143187
